"Floss#","Description","Red","Green","Blue"
3713,"Salmon Very Light",255,226,226
761,"Salmon Light",255,201,201
760,"Salmon",245,173,173
3712,"Salmon Medium",241,135,135
3328,"Salmon Dark",227,109,109
347,"Salmon Very Dark",191,45,45
353,"Peach",254,215,204
352,"Coral Light",253,156,151
351,"Coral",233,106,103
350,"Coral Medium",224,72,72
349,"Coral Dark",210,16,53
817,"Coral Red Very Dark",187,5,31
3708,"Melon Light",255,203,213
3706,"Melon Medium",255,173,188
3705,"Melon Dark",255,121,146
3801,"Melon Very Dark",231,73,103
666,"Bright Red",227,29,66
321,"Red",199,43,59
304,"Red Medium",183,31,51
498,"Red Dark",167,19,43
816,"Garnet",151,11,35
815,"Garnet Medium",135,7,31
814,"Garnet Dark",123,0,27
894,"Carnation Very Light",255,178,187
893,"Carnation Light",252,144,162
892,"Carnation Medium",255,121,140
891,"Carnation Dark",255,87,115
818,"Baby Pink",255,223,217
957,"Geranium Pale",253,181,181
956,"Geranium",255,145,145
963,"Dusty Rose Ult Vy Lt",255,215,215
3716,"Dusty Rose Med Vy Lt",255,189,189
962,"Dusty Rose Medium",230,138,138
961,"Dusty Rose Dark",207,115,115
3833,"Raspberry Light",234,134,153
3832,"Raspberry Medium",219,85,110
3831,"Raspberry Dark",179,47,72
777,"Raspberry Very Dark",145,53,70
819,"Baby Pink Light",255,238,235
3326,"Rose Light",251,173,180
776,"Pink Medium",252,176,185
899,"Rose Medium",242,118,136
335,"Rose",238,84,110
326,"Rose Very Dark",179,59,75
151,"Dusty Rose Vry Lt",240,206,212
3354,"Dusty Rose Light",228,166,172
3733,"Dusty Rose",232,135,155
3731,"Dusty Rose Very Dark",218,103,131
3350,"Dusty Rose Ultra Dark",188,67,101
150,"Dusty Rose Ult Vy Dk",171,2,73
3689,"Mauve Light",251,191,194
3688,"Mauve Medium",231,169,172
3687,"Mauve",201,107,112
3803,"Mauve Dark",171,51,87
3685,"Mauve Very Dark",136,21,49
605,"Cranberry Very Light",255,192,205
604,"Cranberry Light",255,176,190
603,"Cranberry",255,164,190
602,"Cranberry Medium",226,72,116
601,"Cranberry Dark",209,40,106
600,"Cranberry Very Dark",205,47,99
3806,"Cyclamen Pink Light",255,140,174
3805,"Cyclamen Pink",243,71,139
3804,"Cyclamen Pink Dark",224,40,118
3609,"Plum Ultra Light",244,174,213
3608,"Plum Very Light",234,156,196
3607,"Plum Light",197,73,137
718,"Plum",156,36,98
917,"Plum Medium",155,19,89
915,"Plum Dark",130,0,67
225,"Shell Pink Ult Vy Lt",255,223,213
224,"Shell Pink Very Light",235,183,175
152,"Shell Pink Med Light",226,160,153
223,"Shell Pink Light",204,132,124
3722,"Shell Pink Med",188,108,100
3721,"Shell Pink Dark",161,75,81
221,"Shell Pink Vy Dk",136,62,67
778,"Antique Mauve Vy Lt",223,179,187
3727,"Antique Mauve Light",219,169,178
316,"Antique Mauve Med",183,115,127
3726,"Antique Mauve Dark",155,91,102
315,"Antique Mauve Md Dk",129,73,82
3802,"Antique Mauve Vy Dk",113,65,73
902,"Garnet Very Dark",130,38,55
3743,"Antique Violet Vy Lt",215,203,211
3042,"Antique Violet Light",183,157,167
3041,"Antique Violet Medium",149,111,124
3740,"Antique Violet Dark",120,87,98
3836,"Grape Light",186,145,170
3835,"Grape Medium",148,96,131
3834,"Grape Dark",114,55,93
154,"Grape Very Dark",87,36,51
211,"Lavender Light",227,203,227
210,"Lavender Medium",195,159,195
209,"Lavender Dark",163,123,167
208,"Lavender Very Dark",131,91,139
3837,"Lavender Ultra Dark",108,58,110
327,"Violet Dark",99,54,102
153,"Violet Very Light",230,204,217
554,"Violet Light",219,179,203
553,"Violet",163,99,139
552,"Violet  Medium",128,58,107
550,"Violet Very Dark",92,24,78
3747,"Blue Violet Vy Lt",211,215,237
